key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_19.keys,key_resp_19.rt,key_resp_10.keys,key_resp_10.rt,mouse_prac.x,mouse_prac.y,mouse_prac.leftButton,mouse_prac.midButton,mouse_prac.rightButton,mouse_prac.clicked_name,similarity,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_catch_prac.x,mouse_catch_prac.y,mouse_catch_prac.leftButton,mouse_catch_prac.midButton,mouse_catch_prac.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,during_prac.thisRepN,during_prac.thisTrialN,during_prac.thisN,during_prac.thisIndex,during_prac.ran,trailimage1,trial1adress,trailimage2,trial2adress,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_catch_prac.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,response_time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image1adress,image2,image2adress,mouse_3.clicked_name,mouse_11.clicked_name
space,1.766,space,25.068,space,5.761,space,6.399,space,25.491,space,5.288,62,96,1,0,0,response1disk_5,4,-2,-2,1,0,0,rectangle_8,-2,-2,1,0,0,-2,-2,-2,1,0,0,0,0,0,1,1,trail1,trail1.jpg,trail2,trail2.jpg,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,49,81,1,0,0,response1disk_5,4,2,6,1,0,0,rectangle_8,-98,-43,1,0,0,-2,5,-1,1,0,0,0,1,1,5,1,trail3,trail3.jpg,trail3,trail3.jpg,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,response5disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44,94,1,0,0,response1disk_5,4,-17,-8,1,0,0,rectangle_8,-17,-8,1,0,0,-2,-17,-8,1,0,0,0,2,2,3,1,trail2,trail2.jpg,trail2,trail2.jpg,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,58,105,1,0,0,response1disk_5,4,-9,-2,1,0,0,rectangle_8,-9,-2,1,0,0,-2,-9,-2,1,0,0,0,3,3,0,1,trail1,trail1.jpg,trail1,trail1.jpg,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-86,36,1,0,0,response7disk_5,-3,-2,10,1,0,0,rectangle_8,-2,10,1,0,0,-2,-2,10,1,0,0,0,4,4,2,1,trail1,trail1.jpg,trail3,trail3.jpg,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-64,-43,1,0,0,response5disk_5,-2,0,-6,1,0,0,rectangle_8,0,-6,1,0,0,-2,0,-6,1,0,0,0,5,5,4,1,trail2,trail2.jpg,trail3,trail3.jpg,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,space,0.916,-61,-37,1,0,0,response5disk,2.279,14,2,1,0,0,rectangle,14,2,1,0,0,,-2,"[67,149,146,12,61,97,123,39,76,99]",14,2,1,0,0,0,0,0,30,1,Turquiose,Turquiose.jpg,Turquiose,Turquiose.jpg,,
,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,73,34,1,0,0,response1disk,2.138,2,-3,1,0,0,rectangle,2,-3,1,0,0,,1,"[67,149,146,12,61,97,123,39,76,99]",2,-3,1,0,0,0,1,1,56,1,LightBlue,LightBlue.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-58,85,1,0,0,response7disk,1.816,-17,-9,1,0,0,rectangle,-17,-9,1,0,0,,-3,"[67,149,146,12,61,97,123,39,76,99]",-17,-9,1,0,0,0,2,2,5,1,Red,Red.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-74,85,1,0,0,response7disk,1.197,-13,7,1,0,0,rectangle,-13,7,1,0,0,,1,"[67,149,146,12,61,97,123,39,76,99]",-13,7,1,0,0,0,3,3,37,1,LightBlue,LightBlue.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-53,102,1,0,0,response7disk,1.42,-4,-8,1,0,0,rectangle,-4,-8,1,0,0,,-1,"[67,149,146,12,61,97,123,39,76,99]",-4,-8,1,0,0,0,4,4,11,1,Yellow,Yellow.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-41,106,1,0,0,response7disk,1.057,-4,4,1,0,0,rectangle,-4,4,1,0,0,,1,"[67,149,146,12,61,97,123,39,76,99]",-4,4,1,0,0,0,5,5,46,1,LightGreen,LightGreen.jpg,Red,Red.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-94,47,1,0,0,response7disk,2.068,-5,-1,1,0,0,rectangle,-5,-1,1,0,0,,-4,"[67,149,146,12,61,97,123,39,76,99]",-5,-1,1,0,0,0,6,6,8,1,Red,Red.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,108,32,1,0,0,response1disk,2.118,-19,2,1,0,0,rectangle,-19,2,1,0,0,,-3,"[67,149,146,12,61,97,123,39,76,99]",-19,2,1,0,0,0,7,7,45,1,Yellow,Yellow.jpg,Red,Red.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-70,61,1,0,0,response7disk,2.142,-2,-4,1,0,0,rectangle,-2,-4,1,0,0,,-2,"[67,149,146,12,61,97,123,39,76,99]",-2,-4,1,0,0,0,8,8,22,1,LightGreen,LightGreen.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,93,-53,1,0,0,response3disk,1.53,-8,-1,1,0,0,rectangle,-8,-1,1,0,0,,-3,"[67,149,146,12,61,97,123,39,76,99]",-8,-1,1,0,0,0,9,9,34,1,Turquiose,Turquiose.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-46,-30,1,0,0,response5disk,1.98,4,-20,1,0,0,rectangle,4,-20,1,0,0,,-1,"[67,149,146,12,61,97,123,39,76,99]",4,-20,1,0,0,0,10,10,43,1,Pink,Pink.jpg,Purple,Purple.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-49,96,1,0,0,response7disk,1.12,0,10,1,0,0,rectangle,-103,41,1,0,0,-3,-3,"[67,149,146,12,61,97,123,39,76,99]",-4,-6,1,0,0,0,11,11,50,1,DarkBlue,DarkBlue.jpg,Red,Red.jpg,response7disk_3,rectangle
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,78,-54,1,0,0,response3disk,1.806,9,-15,1,0,0,rectangle,9,-15,1,0,0,-3,-4,"[67,149,146,12,61,97,123,39,76,99]",9,-15,1,0,0,0,12,12,32,1,Turquiose,Turquiose.jpg,DarkBlue,DarkBlue.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,90,-50,1,0,0,response3disk,1.479,4,-5,1,0,0,rectangle,4,-5,1,0,0,-3,-2,"[67,149,146,12,61,97,123,39,76,99]",4,-5,1,0,0,0,13,13,25,1,DarkGreen,DarkGreen.jpg,Turquiose,Turquiose.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-80,-48,1,0,0,response5disk,2.198,-5,-11,1,0,0,rectangle,-5,-11,1,0,0,-3,3,"[67,149,146,12,61,97,123,39,76,99]",-5,-11,1,0,0,0,14,14,55,1,Turquiose,Turquiose.jpg,Yellow,Yellow.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-63,60,1,0,0,response7disk,1.176,-2,7,1,0,0,rectangle,-2,7,1,0,0,-3,-3,"[67,149,146,12,61,97,123,39,76,99]",-2,7,1,0,0,0,15,15,40,1,DarkBlue,DarkBlue.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-75,-43,1,0,0,response5disk,1.13,0,-15,1,0,0,rectangle,0,-15,1,0,0,-3,-2,"[67,149,146,12,61,97,123,39,76,99]",0,-15,1,0,0,0,16,16,3,1,Red,Red.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,72,-28,1,0,0,response3disk,1.259,-4,5,1,0,0,rectangle,-4,5,1,0,0,-3,3,"[67,149,146,12,61,97,123,39,76,99]",-4,5,1,0,0,0,17,17,70,1,Purple,Purple.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-61,67,1,0,0,response7disk,1.171,-10,-11,1,0,0,rectangle,-10,-11,1,0,0,-3,-4,"[67,149,146,12,61,97,123,39,76,99]",-10,-11,1,0,0,0,18,18,20,1,LightGreen,LightGreen.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-38,58,1,0,0,response7disk,1.1,6,18,1,0,0,rectangle,6,18,1,0,0,-3,-4,"[67,149,146,12,61,97,123,39,76,99]",6,18,1,0,0,0,19,19,7,1,Red,Red.jpg,Pink,Pink.jpg,,
,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-46,101,1,0,0,response7disk,1.862,3,-2,1,0,0,rectangle,3,-2,1,0,0,-3,-2,"[67,149,146,12,61,97,123,39,76,99]",3,-2,1,0,0,0,20,20,21,1,LightGreen,LightGreen.jpg,DarkBlue,DarkBlue.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-80,-26,1,0,0,response5disk,1.967,-17,-12,1,0,0,rectangle,-17,-12,1,0,0,-3,3,"[67,149,146,12,61,97,123,39,76,99]",-17,-12,1,0,0,0,21,21,67,1,LightBlue,LightBlue.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-44,40,1,0,0,response7disk,14.383,-6,6,1,0,0,rectangle,-6,6,1,0,0,-3,3,"[67,149,146,12,61,97,123,39,76,99]",-6,6,1,0,0,0,22,22,63,1,DarkBlue,DarkBlue.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-76,36,1,0,0,response7disk,1.362,-21,-3,1,0,0,rectangle,-21,-3,1,0,0,-3,-3,"[67,149,146,12,61,97,123,39,76,99]",-21,-3,1,0,0,0,23,23,76,1,Pink,Pink.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,56,89,1,0,0,response1disk,1.946,5,-9,1,0,0,rectangle,5,-9,1,0,0,-3,2,"[67,149,146,12,61,97,123,39,76,99]",5,-9,1,0,0,0,24,24,36,1,LightBlue,LightBlue.jpg,DarkBlue,DarkBlue.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,36,56,1,0,0,response1disk,1.265,5,-7,1,0,0,rectangle,5,-7,1,0,0,-3,-4,"[67,149,146,12,61,97,123,39,76,99]",5,-7,1,0,0,0,25,25,77,1,Purple,Purple.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,107,20,1,0,0,response1disk,1.491,20,-16,1,0,0,rectangle,20,-16,1,0,0,-3,3,"[67,149,146,12,61,97,123,39,76,99]",20,-16,1,0,0,0,26,26,72,1,DarkBlue,DarkBlue.jpg,Turquiose,Turquiose.jpg,,
,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-60,-18,1,0,0,response5disk,1.007,-8,-12,1,0,0,rectangle,-8,-12,1,0,0,-3,3,"[67,149,146,12,61,97,123,39,76,99]",-8,-12,1,0,0,0,27,27,69,1,Pink,Pink.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,46,84,1,0,0,response1disk,0.937,2,-18,1,0,0,rectangle,2,-18,1,0,0,-3,-3,"[67,149,146,12,61,97,123,39,76,99]",2,-18,1,0,0,0,28,28,24,1,DarkGreen,DarkGreen.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,-53,42,1,0,0,response7disk,0.774,-3,-10,1,0,0,rectangle,-3,-10,1,0,0,-3,-4,"[67,149,146,12,61,97,123,39,76,99]",-3,-10,1,0,0,0,29,29,64,1,Pink,Pink.jpg,LightGreen,LightGreen.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,26,86,1,0,0,response1disk,0.696,5,20,1,0,0,rectangle,5,20,1,0,0,-3,-1,"[67,149,146,12,61,97,123,39,76,99]",5,20,1,0,0,0,30,30,35,1,LightBlue,LightBlue.jpg,LightBlue,LightBlue.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,42,90,1,0,0,response1disk,0.7,-10,-11,1,0,0,rectangle,-10,-11,1,0,0,-3,1,"[67,149,146,12,61,97,123,39,76,99]",-10,-11,1,0,0,0,31,31,18,1,LightGreen,LightGreen.jpg,DarkGreen,DarkGreen.jpg,,
,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph,001,2021-12-05_23h16.36.035,jm_natural_scene_simialrity_2-12-2021,2021.2.3,Win32,29.9940012,5e9e05878b2cf3198fe9dc1a,61ad71e11ddd29ccf7a27d5b,61ad7249130d4cd21c4e8f2f,,,,,35,98,1,0,0,response1disk,0.835,15,16,1,0,0,rectangle,15,16,1,0,0,-3,-4,"[67,149,146,12,61,97,123,39,76,99]",15,16,1,0,0,0,32,32,38,1,LightBlue,LightBlue.jpg,Purple,Purple.jpg,,
